,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,age
"(58,)",66667,9982,85123,38747,491369,72620,53998,13686,7256,279065,129093,18656,21244,175129,90905,42972,38441,61736,62365,21873,84476,97248,147094,77914,39329,85197,15575,24917,36863,21783,127893,27884,271344,134290,10063,170580,50601,54655,191015,15559,66620,11828,89585,328625,30215,10042,114213,97528,27554,84428,8385,43323,58
"(59,)",66984,9929,84313,38692,482815,72093,52658,13353,7141,277640,127813,18569,21437,171830,89656,42674,38702,60756,62321,21662,82452,94725,145880,76173,39577,84833,15591,24731,36761,21526,125014,28000,266155,132728,9773,168346,50248,55522,188430,15415,67224,11697,89407,322911,30089,10076,111544,96986,27615,82966,8510,43952,59
"(60,)",64728,9500,81743,37650,465557,69351,50321,13002,6981,269179,122261,18491,20679,164970,86216,41316,37291,58624,60464,20908,78423,91120,139939,72805,38129,81034,15387,24111,35988,20271,119534,27372,256093,129089,9663,161100,48651,54488,180596,14841,64945,11579,86624,309187,28968,9637,107118,94619,26453,79449,8407,43998,60
"(61,)",63930,9656,81615,37217,461865,68406,49254,12789,6971,268246,120039,18625,20496,163297,84980,41518,37016,58650,60337,20694,77217,89921,137983,71628,38137,79575,15363,23714,36311,20069,116696,27344,254251,127053,9512,159530,48332,55394,178529,14660,65579,11449,85872,303707,28617,9746,105387,94485,26892,79152,8273,43461,61
"(62,)",61681,9074,79869,36490,437514,66157,46360,12356,6780,261522,114464,18064,20088,154223,81683,39723,35458,56309,57467,20522,72997,85579,132499,68859,36325,76761,15122,22948,34700,19232,109136,26447,239515,123922,8985,151787,46520,55382,171943,13816,63974,11309,83309,287000,27669,9356,100733,91609,26165,76210,7960,41694,62
"(63,)",58949,8457,77900,35204,416899,64246,44252,12265,6421,254886,109564,17947,20028,147442,78202,38366,33800,53693,54283,19927,70229,82165,126890,66160,34322,73317,14945,21924,33455,18333,103730,25876,228238,119712,8683,145466,44479,54728,165782,13053,62258,10914,79587,274919,26536,9091,96153,88968,25760,72821,7685,40496,63
"(64,)",56898,7876,76125,33836,393948,61463,41527,11937,6082,249620,104955,17321,19312,140795,75314,37513,32564,52372,52015,19276,65994,78237,123293,64036,33344,70810,14451,21398,32576,17575,98023,25249,219013,116162,8357,140619,42348,52921,159210,12465,61167,10532,76417,259183,25082,8769,91570,84486,25295,71027,7216,39907,64
"(65,)",55094,7259,75448,33089,381187,58638,39291,11557,5953,249036,102000,16600,18517,136295,71816,35914,31211,50454,50789,18430,64294,75839,118739,60898,32652,68564,13975,20572,31813,16679,94695,24344,212994,112722,7706,135179,41099,51043,151828,11863,60202,10194,74730,249502,23919,8522,88486,81352,24808,67633,6847,39903,65
"(66,)",54386,7068,75801,32466,376695,56628,38250,11452,5829,247622,100414,17084,18065,131029,69481,34014,29748,49089,48913,18044,61664,73137,113228,57986,31884,66291,13429,19588,32067,16068,91831,24432,209347,110189,7183,130679,40032,49855,145451,11527,59616,9821,72776,242432,23072,8181,86763,79175,24355,64780,6609,40711,66
"(67,)",53504,6562,75249,32148,356457,54058,36684,11401,5647,246525,97770,16239,17627,124990,67748,32524,28380,48370,46581,17822,59825,71240,109859,54768,30567,64323,12819,18937,31261,15977,87986,23713,200224,108140,6880,127087,38591,48177,141971,11173,58816,9246,72492,232368,22266,7987,84582,76149,24287,62044,6263,38969,67
"(68,)",52996,6129,76046,31925,347796,52911,36833,11488,5497,250749,97275,15997,17400,122548,65555,31582,27807,47236,45693,17890,59216,70339,107154,53004,30038,63162,12411,17996,31468,16032,87949,23358,196588,108421,6610,124985,38100,47285,141463,10930,59017,8772,72217,227893,21743,7711,84688,74711,23508,59952,6232,39711,68
"(69,)",55024,6038,80863,33678,354310,54817,39259,12170,5329,269684,99664,15692,18046,126215,68321,32842,28992,49342,47291,18453,60993,73400,111256,54648,31544,65993,12836,18520,33094,16798,92491,23634,201243,113424,6695,130901,40060,49521,149358,11635,62205,8817,75266,233694,22009,8048,87444,77621,24233,61325,6410,39641,69
"(70,)",40143,4456,59989,24719,274416,39061,29138,8777,4018,205170,73145,12741,13176,92911,48700,23517,20566,35158,34405,12792,44722,53049,79828,39376,22775,47831,9249,13226,24672,11505,69471,17803,151963,83317,4998,90640,29660,35242,104710,8508,45080,6323,54148,175157,16167,5778,64139,56136,16964,44495,4440,37978,70
"(71,)",39960,4348,59668,24987,268906,37799,28255,8586,4011,203237,71840,12738,13026,89902,48532,23064,20519,34638,34341,12625,43879,51929,78154,39235,22598,47747,9026,13182,24112,11130,66842,17653,148391,81494,4941,87352,29991,34919,101808,8258,44414,6170,53723,172918,16129,5800,62988,55504,17000,43715,4462,34980,71
"(72,)",38909,4075,58949,24328,252707,35985,27926,8447,3880,200582,68831,12217,12873,88347,46945,22723,20155,33684,32918,12616,42089,50287,77402,38271,22075,47266,8881,13112,23366,10950,64144,16666,141560,78453,4874,85805,29426,33852,101536,7905,42794,6141,52275,165995,16230,5550,61158,53728,16335,42735,4323,32382,72
"(73,)",39719,3850,60347,24541,249417,35652,29233,8752,3721,209463,69373,10888,13026,91505,48726,23278,20276,34208,32952,12792,43133,51710,80641,39449,22142,48439,8984,13074,23537,11226,67921,16560,145836,79677,4836,90994,29014,33877,107346,8275,43496,6152,53031,162251,16106,5687,62065,53033,16797,44005,4307,30904,73
"(74,)",34048,3305,52387,21589,219187,30631,24534,7540,3425,182461,59041,9688,11060,80282,42342,20426,17385,29770,28696,10850,37412,44024,69773,34102,19228,42147,7735,11476,20131,9613,58526,14480,127759,68318,4209,80364,25547,28793,92375,6964,36893,5328,45968,140883,13670,4605,53270,45025,14744,38325,3701,29147,74
"(75,)",30993,2983,47845,19936,200794,27351,21529,6755,3009,166704,53705,8849,10081,71861,38574,19163,16193,27566,26560,9577,33404,39183,61817,31133,17963,38813,7262,10407,18029,8324,51589,13380,115323,61771,3845,72555,23479,25993,83445,6242,33784,4767,41814,130852,12587,4339,48039,40234,13744,34403,3252,26623,75
"(76,)",29787,2609,44824,19023,192045,25451,20131,6088,2935,157840,50017,8325,9410,67385,35741,18190,15281,25821,25101,8934,30962,36500,57121,29365,17082,36023,6555,9975,16998,7651,49174,12494,110618,57267,3609,67442,22479,24225,77637,5855,30973,4603,39305,121618,11736,3819,44933,37116,12658,31891,3153,25908,76
"(77,)",27757,2252,41647,17408,178106,23610,18928,5668,2645,148827,45598,7499,8743,63560,33744,17338,14394,24277,23146,8399,28838,34498,53767,27732,15933,33770,6074,9503,15416,6978,46042,11757,103161,52652,3578,63945,20998,22229,74199,5424,27977,4396,36171,111390,10956,3552,41566,34282,11999,30727,2975,23842,77
"(78,)",26472,2129,39068,16265,168570,22007,18198,5446,2484,141172,41990,7112,7956,60937,32127,16714,13920,22884,22030,7993,27267,32842,50854,26117,15260,31840,5647,9129,14304,6624,44245,11050,99529,49702,3465,61831,19658,20507,71688,5184,26025,4103,33758,105261,10303,3436,38866,32568,11511,29497,2736,22011,78
"(79,)",23455,1886,35197,14630,155472,19989,16575,4799,2346,129842,37800,6430,7213,55559,29127,15592,12771,19921,19654,7415,24523,30678,45922,24351,13467,28931,5316,8679,12660,6158,40686,9986,91072,44973,3341,56358,17674,18826,66146,4908,23245,3893,30003,96025,9456,3018,35414,29196,10582,27210,2498,20833,79
"(80,)",22309,1699,32764,13777,145864,18623,15946,4510,2112,121806,35430,6158,6671,52909,27426,15177,12299,18776,18552,6867,23066,29093,44033,23062,12690,27647,4830,8131,11390,5903,38428,9428,86303,43095,3224,52968,16746,17242,63103,4623,21752,3937,28842,90572,8961,2859,33029,26966,9670,25690,2278,19401,80
"(81,)",20912,1560,30301,13249,138431,17406,15207,4233,2021,114294,33243,6017,6285,49759,25844,14152,11655,17644,17499,6656,21656,27880,41586,21491,11978,26270,4488,7818,10484,5700,36427,8889,82461,40625,3111,50736,16048,16038,60322,4363,20412,3675,26756,86471,8515,2737,30960,25294,9219,24315,2108,18382,81
"(82,)",18305,1423,26389,11543,123963,15560,13826,3650,1863,100228,28503,5482,5398,43848,22576,12595,10578,15794,15447,5947,19346,25086,36387,19307,10046,23578,4043,7040,8997,5021,32948,7712,73697,35296,2806,44346,14142,14204,53787,4040,17910,3358,23264,75925,7395,2476,27142,22398,7755,21513,1928,15965,82
"(83,)",16647,1243,24920,10803,117527,14624,13534,3491,1735,95460,26681,5447,5238,42189,21927,12358,10315,14626,14437,5654,18842,24565,34780,18803,9606,22444,3665,6755,8413,4850,31734,7156,70656,33119,2794,42180,13300,13429,52427,4026,16256,3221,21727,70297,6842,2375,25761,21271,7267,20812,1697,14525,83
"(84,)",15542,1106,22917,9772,109578,13738,12817,3310,1672,89047,24351,5420,4824,39248,20300,11747,9713,13439,13385,5419,17454,23533,32652,17882,8737,20862,3464,6634,7415,4596,30297,6685,66621,30325,2627,39920,12114,12684,50412,3792,14753,3051,20247,65144,6372,2180,23734,19669,6856,19774,1688,13304,84
"(85,)",86919,6316,133252,57246,721049,84549,92124,19036,11915,544192,138598,39683,27912,264152,129155,79149,64534,78725,78412,32324,114632,159360,213041,118972,50839,128428,22326,42682,40254,29629,202483,39127,451392,177601,18405,255294,70296,83349,335392,28080,83922,20745,115684,385993,36367,14142,145096,130548,39980,128144,10432,80105,85
