,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,age
"(20,)",64398.22724,9824.557177,91533.82953,36535.05418,480451.1029,67612.80697,43864.16775,12622.46565,273682.8303,136646.9901,18928.87577,22258.96399,170062.8221,87895.14145,41481.44155,38525.04641,58774.85201,62087.72954,17624.48092,79823.01334,90408.69606,131609.9837,73202.37246,39554.29558,80703.07676,13761.33852,25274.17223,38942.70026,17687.85174,118956.6343,27630.26036,262814.4896,134567.7833,10010.39015,153989.29,51952.77062,54135.99671,169418.3688,14011.88048,65713.56592,11414.72355,88099.13905,369716.4915,40334.75167,8258.928278,111483.6207,96466.39261,24227.93762,76486.40653,7749.576868,20
"(21,)",65922.23068,10057.05828,93700.00517,36535.05418,480451.1029,67612.80697,43864.16775,12921.1801,280159.6169,139880.7823,19376.83332,22785.72908,174087.41,89975.20645,42463.11236,39436.75323,60165.77658,63557.05436,18041.56957,81712.04899,92548.24508,134724.5736,74934.72865,40490.35989,82612.93937,14087.00474,25872.29313,39864.29099,18106.44008,121771.7788,28284.13879,269034.0737,137752.3704,10247.28905,157633.4929,53182.24858,55417.14138,173427.7056,14343.47585,67268.69724,11684.85642,90184.03171,378465.9436,41289.28572,8454.378303,114121.9142,98749.29884,24801.29906,78296.48037,7932.972938,21
"(22,)",67343.74328,10273.92344,95720.50321,36535.05418,480451.1029,67612.80697,43864.16775,13199.80569,286200.8328,142897.0985,19794.66525,23277.06865,177841.3401,91915.38487,43378.76477,40287.14681,61463.16001,64927.56553,18430.60857,83474.045,94543.90717,137629.7041,76550.58205,41363.47289,84394.36171,14390.76956,26430.18977,40723.90376,18496.87791,124397.602,28894.04321,274835.3841,140722.7907,10468.25624,161032.6194,54329.04285,56612.12771,177167.4102,14652.77108,68719.24434,11936.82257,92128.71313,386626.9858,42179.62634,8636.684107,116582.7796,100878.6772,25336.10134,79984.82484,8104.035429,22
"(23,)",68417.13342,10437.67923,97246.18977,36535.05418,480451.1029,67612.80697,43864.16775,13410.19704,290762.5803,145174.7316,20110.17189,23648.08123,180675.9485,93380.42175,44070.17775,40929.28258,62442.81968,65962.44427,18724.37355,84804.53558,96050.84,139823.3803,77770.71975,42022.76419,85739.5212,14620.14365,26851.45986,41373.00099,18791.69916,126380.372,29354.5846,279215.978,142965.7675,10635.1095,163599.314,55194.99202,57514.46691,179991.2768,14886.32121,69814.55856,12127.08327,93597.15025,392789.4231,42851.92628,8774.343985,118440.9895,102486.5798,25739.93279,81259.70084,8233.205435,23
"(24,)",70228.15641,10713.96788,99820.32692,36535.05418,480451.1029,67612.80697,43864.16775,13765.16916,298459.157,149017.5522,20642.49445,24274.05336,185458.4976,95852.23081,45236.72918,42012.69353,64095.70071,67708.49087,19220.01359,87049.33825,98593.33586,143524.549,79829.3351,43135.11994,88009.07323,15007.14344,27562.22643,42468.1573,19289.12133,129725.7001,30131.60966,286606.9125,146750.1162,10916.62419,167929.8392,56656.02077,59036.89289,184755.7024,15280.3668,71662.57182,12448.09097,96074.69617,403186.6824,43986.23021,9006.603623,121576.1596,105199.4317,26421.27688,83410.67061,8451.140965,24
"(25,)",71510.54955,10909.60905,101643.0845,36535.05418,480451.1029,67612.80697,43864.16775,14016.52645,303909.1359,151738.67,21019.43433,24717.30691,188845.0411,97602.5294,46062.76925,42779.86146,65266.11285,68944.87394,19570.97843,88638.89263,100393.6881,146145.3625,81287.04945,43922.78382,89616.15274,15281.17965,28065.52328,43243.64218,19641.3481,132094.5413,30681.82444,291840.465,149429.8298,11115.96594,170996.3026,57690.5815,60114.92926,188129.4125,15559.39218,72971.15794,12675.3979,97829.05707,410549.0262,44789.43569,9171.067669,123796.187,107120.4138,26903.73956,84933.78153,8605.462049,25
"(26,)",71355.52556,10885.95868,101422.7377,36535.05418,480451.1029,67612.80697,43864.16775,13986.14075,303250.3072,151409.7237,20973.8674,24663.72355,188435.6537,97390.94197,45962.91217,42687.12123,65124.62585,68795.41195,19528.55152,88446.737,100176.0498,145828.5416,81110.8315,43827.56591,89421.87856,15248.05238,28004.6815,43149.89655,19598.76865,131808.1804,30615.31091,291207.7993,149105.8886,11091.86822,170625.6086,57565.5171,59984.60924,187721.5766,15525.66178,72812.96757,12647.91956,97616.97856,409659.0184,44692.33901,9151.18619,123527.8157,106888.193,26845.41634,84749.65802,8586.806717,26
"(27,)",68538.64644,10456.21719,97418.90497,36535.05418,480451.1029,67612.80697,43864.16775,13434.01437,291278.9924,145432.5708,20145.88879,23690.08167,180996.8401,93546.2711,44148.44908,41001.97549,62553.72196,66079.59762,18757.62918,84955.15364,96221.43217,140071.7152,77908.84531,42097.3992,85891.79985,14646.10992,26899.1497,41446.48197,18825.07437,126604.8313,29406.72014,279711.8827,143219.6835,10653.99811,163889.8764,55293.02171,57616.61613,180310.9523,14912.76023,69938.55349,12148.62172,93763.38452,393487.0412,42928.03393,8789.927758,118651.3479,102668.6022,25785.64849,81404.02305,8247.828112,27
"(28,)",66926.74637,10210.30663,95127.79553,36535.05418,480451.1029,67612.80697,43864.16775,13118.07162,284428.6583,142012.2702,19672.09537,23132.9355,176740.1348,91346.23873,43110.16059,40037.68614,61082.57606,64525.52975,18316.48502,82957.16819,93958.48504,136777.4919,76076.57579,41107.34754,83871.78624,14301.66096,26266.53228,40471.73866,18382.34402,123627.3238,28715.12938,273133.5852,139851.4259,10403.43611,160035.4947,53992.63382,56261.58167,176070.3778,14562.04015,68293.73024,11862.90898,91558.24605,384232.966,41918.4473,8583.205188,115860.8914,100254.0298,25179.21853,79489.55352,8053.854706,28
"(29,)",65797.61507,10038.04699,93522.88005,36535.05418,480451.1029,67612.80697,43864.16775,12896.75464,279630.0192,139616.3596,19340.20446,22742.65624,173758.3252,89805.12247,42382.84252,39362.20425,60052.04264,63436.90974,18007.46482,81557.58521,92373.29718,134469.898,74793.07632,40413.81923,82456.7726,14060.37547,25823.38563,39788.93381,18072.2127,121541.5884,28230.67207,268525.5071,137491.9712,10227.91816,157335.5116,53081.7159,55312.38399,173099.8678,14316.36176,67141.53635,11662.76804,90013.55298,377750.5133,41211.23481,8438.39663,113906.1847,98562.62882,24754.41611,78148.47319,7917.9769,29
"(30,)",66066.03415,10078.99686,93904.40337,36535.05418,480451.1029,67612.80697,43864.16775,12949.3665,280770.7601,140185.9197,19419.10215,22835.43411,174467.1662,90171.47933,42555.74185,39522.78099,60297.02285,63695.6984,18080.92564,81890.29653,92750.13082,135018.4633,75098.19207,40578.686,82793.15213,14117.73428,25928.73123,39951.25138,18145.93766,122037.4131,28345.83812,269620.9475,138052.8649,10269.6426,157977.3563,53298.26091,55538.02893,173806.0226,14374.76486,67415.4379,11710.3459,90380.76013,379291.5333,41379.35461,8472.820774,114370.861,98964.71163,24855.40088,78467.27716,7950.278011,30
"(31,)",66548.99871,10152.67766,94590.87563,36535.05418,480451.1029,67612.80697,43864.16775,13044.03065,282823.2873,141210.7252,19561.06221,23002.36869,175742.5789,90830.66267,42866.8384,39811.7056,60737.81404,64161.33503,18213.10319,82488.94169,93428.16496,136005.4929,75647.1847,40875.32962,83398.39746,14220.93959,26118.27883,40243.30824,18278.59047,122929.547,28553.05557,271591.9658,139062.077,10344.71708,159132.2231,53687.88883,55944.03029,175076.6022,14479.84915,67908.26706,11795.9524,91041.47338,382064.2799,41681.85138,8534.759897,115206.9498,99688.17641,25037.10209,79040.89891,8008.397173,31
"(32,)",64446.70895,9831.953519,91602.74007,36535.05418,480451.1029,67612.80697,43864.16775,12631.96837,273888.8703,136749.8637,18943.12623,22275.72148,170190.8526,87961.31263,41512.67054,38554.04969,58819.1002,62134.47181,17637.74938,79883.10748,90476.75955,131709.0653,73257.4823,39584.07372,80763.83345,13771.69863,25293.1997,38972.01797,17701.1679,119046.1898,27651.06159,263012.3475,134669.0916,10017.9264,154105.2197,51991.88286,54176.75258,169545.9142,14022.42921,65763.03787,11423.31704,88165.46381,369994.8297,40365.11738,8265.145948,111567.5503,96539.01659,24246.17744,76543.98873,7755.411077,32
"(33,)",65391.35673,9976.068451,92945.43587,36535.05418,480451.1029,67612.80697,43864.16775,12817.1254,277903.4821,138754.3176,19220.79103,22602.23483,172685.4782,89250.63307,42121.15548,39119.16773,59681.25955,63045.22725,17896.2802,81054.0191,91802.95094,133639.6321,74331.27674,40164.28966,81947.65458,13973.56161,25663.94268,39543.2625,17960.62831,120791.1466,28056.36567,266867.5332,136643.0459,10164.76728,156364.0651,52753.97013,54970.86527,172031.0864,14227.96735,66726.98015,11590.75788,89457.77666,375418.1446,40956.7817,8386.294908,113202.8866,97954.0674,24601.57336,77665.95617,7869.088439,33
"(34,)",65336.09753,9967.638137,92866.89198,36535.05418,480451.1029,67612.80697,43864.16775,12806.29424,277668.6387,138637.0628,19204.54842,22583.13473,172539.5497,89175.21149,42085.56084,39086.10993,59630.82568,62991.95065,17881.15688,80985.5241,91725.37252,133526.6994,74268.46283,40130.34867,81878.40442,13961.7532,25642.25527,39509.84632,17945.45061,120689.0716,28032.65653,266642.0158,136527.5752,10156.17751,156231.9291,52709.3902,54924.41193,171885.7109,14215.94396,66670.59227,11580.96307,89382.18003,375100.8961,40922.17102,8379.208039,113107.224,97871.29096,24580.78371,77600.32427,7862.438637,34
"(35,)",64612.14017,9857.191611,91837.87935,36535.05418,480451.1029,67612.80697,43864.16775,12664.39395,274591.9282,137100.8932,18991.75221,22332.90205,170627.7233,88187.10456,41619.23132,38653.01585,58970.08565,62293.96764,17683.02452,80088.1631,90709.0085,132047.1553,73445.53029,39685.6839,80971.14984,13807.04984,25358.12598,39072.05703,17746.60584,119351.775,27722.04037,263687.486,135014.7799,10043.64187,154500.7994,52125.34321,54315.82137,169981.1293,14058.42403,65931.84803,11452.64008,88391.77978,370944.5864,40468.73245,8286.36213,111853.9382,96786.82702,24308.41606,76740.47301,7775.318798,35
"(36,)",65853.80807,10046.61977,93602.75119,36535.05418,480451.1029,67612.80697,43864.16775,12907.76883,279868.831,139735.5959,19356.72154,22762.0791,173906.7196,89881.81854,42419.03865,39395.82067,60103.32876,63491.08663,18022.8437,81627.23766,92452.18655,134584.7391,74856.95169,40448.33376,82527.19298,14072.38342,25845.43952,39822.91467,18087.64687,121645.3883,28254.78185,268754.8353,137609.3932,10236.65309,157469.8805,53127.04916,55359.6223,173247.6999,14328.58833,67198.87709,11672.72837,90090.42706,378073.1227,41246.43036,8445.603255,114003.4637,98646.80405,24775.55707,78215.21416,7924.739073,36
