,iter,incidence(millions)_x,beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality,prob_hosp_scaling,prob_death_scaling
1853,1853,26.039554025792583,0.0021417770641387612,0.0020040452633084405,0.0014994303708443235,0.92561778550865492,0.52506784099904513,0.58502216603709412,0.96268946788686138,0.75390426637385488,0.64462279833834102,0.55316768411912975,0.94595277231313768,0.85821008867845361,0.88808670692953684,0.77546959958541517,0.90230796538115787,0.98619615089519563,0.40488872629423406,0.01052919253570217,3.4412071379330555e-05
1854,1854,25.903557798098806,0.0017480223120673877,0.0016419951785813791,0.0014084404287055818,0.89792250661132689,0.61867635306669388,0.66965547837065142,0.7155508988734095,1.0,0.70996091300381714,0.57820429521371408,1.0,0.72819589687900654,0.93629362614374312,0.6410588090575593,0.98330299685680711,0.02774411041680197,0.22813800916435639,0.0063224594786590038,2.6684695417555915e-05
1855,1855,26.18097124593677,0.002495763468289669,0.0017789013419243216,0.0019540794465421341,0.87586916772546952,0.53026016073586346,0.55571892760436259,0.77652326120581949,0.50827422292122293,0.85242227423942163,0.72962183442710415,1.0,0.65862884518464493,0.8432291300054624,0.52252831789558507,0.45883052346746772,0.54822264743584059,0.61998764025698883,0.0084329379116836467,4.2493780287367056e-05
1856,1856,26.00323157526039,0.0013561146988209649,0.0014231839277040748,0.001642154629671766,0.68485599321814183,0.76479988333802762,0.88772737968158788,0.76008007780168274,0.99993486689893785,0.75682836165518064,0.65543177044802881,1.0,0.91040017404334805,0.70767947574319023,0.45765948942465617,1.0,0.98079457392563962,0.7426965774124954,0.010571680980740128,3.2621160968693275e-05
1857,1857,26.719422391545674,0.0020721295840996357,0.0021895186708525416,0.0015488061888315197,0.69249353298663341,0.56205368133980427,0.67227566654689475,0.82528272307686135,0.92211564240344135,0.54929873432047138,0.4749132329743127,1.0,0.87942695464864418,0.90810650150967342,0.65810093689429972,0.65434037687873658,0.47249812270122005,0.77977487128583034,0.0057180225218845249,4.8005390926142422e-05
1858,1858,25.906447494968,0.0026718598366595736,0.001594184321720149,0.0021888046108821113,0.67916775025707432,0.43680804808467122,0.44930514497709206,0.7768718914530186,0.75237922306347504,0.80086674610571074,0.73899189235316898,1.0,0.76110220280253993,0.60604685857475538,0.4531026940247741,0.91841548683354213,0.43687663301968443,0.029081351696428726,0.0063474887132480284,2.7272676964618103e-05
1859,1859,27.07469667851593,0.0015673493580884434,0.0016121471235574503,0.0014785432503669482,0.79508217876234843,0.67070124711779111,0.75372158943918333,0.72715297681828117,1.0,0.72902019862593992,0.50831702279600166,1.0,0.76743704603583263,0.85032455637134041,0.55609779740666787,0.9999992263068973,0.2936842238951537,0.67953901223453828,0.0046534038876132611,6.1914286451802969e-05
1860,1860,25.94361144403258,0.0016802468954531524,0.0016925042393576284,0.0012326232704034101,0.79547213409286088,0.62466161588116931,0.70976041899723519,0.47042277528350063,0.94677532313614132,0.65175322347958053,0.54169817715372381,1.0,0.90297567057535133,0.9471927779896756,0.81509052550829431,0.54163232454567156,0.49565966306837794,0.44800324059119934,0.0089492322322317075,4.3451329689414564e-05
1861,1861,26.927484706994534,0.0018067664196831368,0.002023164715349246,0.0017754373258035416,0.87681909256802548,0.749681263219654,0.84715781302063875,0.61646694443879468,0.84575799310324185,0.66357244892012124,0.65115070708419587,1.0,0.89190414433306298,0.60843113239301183,0.90422459164873781,0.81622610506120608,0.70290125364321898,0.054553953700693714,0.0096909338218160168,3.8145819807711145e-05
1862,1862,25.573111408685012,0.0018602933285819523,0.0014643493144283481,0.0016436152063354914,0.7289418630317509,0.60101043860981884,0.73093488483131797,0.70622606350383044,1.0,0.81685845782832334,0.74492572592851136,1.0,0.900021043533482,0.78889384734764612,0.58617412481776188,0.72625426490877021,0.53497138378700182,0.79604648461182004,0.013106817341610066,3.7932741521640168e-05
