iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
310,26.69719027934667,[0.0017512328295780089],[0.0019188328721425063],[0.0016587134757762856],[0.80180668182002424],[0.59496257134253738],[0.73708649394127246],[0.90356963958645065],[0.87084470089585198],[0.53297565590368234],[0.57470210305812042],[1.0],[0.90728604210934427],[0.73900491292172676],[0.54200827558329012],[0.89036801370603524],[0.0013468058529643168],[0.0016368183117419499]
311,26.294573706815164,[0.0014681697447664344],[0.0016049122801268245],[0.0016012158585330116],[0.82023296711153404],[0.62846478536551398],[0.87309105166281098],[0.76089774414699718],[0.91730624126345328],[0.68290520759727424],[0.53554956206318582],[1.0],[0.91473037152075154],[0.64696071759425489],[0.5919114685098873],[0.6354603114831805],[0.0016903623001503498],[0.00150782468859606]
312,26.74447438411251,[0.0017799536284259787],[0.002161901344011341],[0.001433750045056803],[0.75311239063290092],[0.62555903287418335],[0.70818280346082019],[0.77052107101944578],[0.87917080634942923],[0.52514796671593966],[0.43639507232730473],[1.0],[0.64122569499901716],[0.93771097429508854],[0.68486187522807629],[0.89271233135047767],[0.0015094022967711562],[0.0017816429577095505]
313,27.3758805312224,[0.0027026925532458446],[0.0026277052634157694],[0.0023889213956894695],[0.75531610422472084],[0.4772327931765783],[0.54083270206724632],[0.55942630025937279],[0.94401076149129803],[0.50025954962675234],[0.40348843652297112],[1.0],[0.86680766050092095],[0.6539382764959516],[0.43553576321753273],[0.62731888818943227],[0.0027026925532458446],[0.0026277052634157694]
314,25.83916550921759,[0.0018297306028170479],[0.0015389291248943948],[0.0016456966612358737],[0.84502775041175981],[0.70372969433761712],[0.76233330827185031],[0.66895666836170298],[0.99999987863893802],[0.82727355918686696],[0.85490719204787524],[0.62003281722461123],[0.44721693072559143],[0.72407285429533053],[0.96509317020339203],[0.60867049090333503],[0.0018297306028170479],[0.0015389291248943948]
315,26.93590608254453,[0.0017983871078201541],[0.0015594179749533477],[0.0016849932402722145],[0.878333878309425],[0.67000613579492185],[0.75953142365357662],[0.62341603940356338],[0.99736070875417271],[0.80897891290779478],[0.72016749236376287],[1.0],[0.54537648571854613],[0.82781955643962979],[0.70243996321418334],[0.61735094943421287],[0.00090433151730395789],[0.0016202395444975815]
316,26.23124465228393,[0.001716485931049283],[0.0023181966813894395],[0.0016436153589120539],[0.70648807890744458],[0.74914341598935275],[0.85491757000302804],[0.90079352363682164],[0.96495818297553337],[0.57824406993634736],[0.43385217005180993],[1.0],[0.88227490414152143],[0.92222281483311896],[0.66559168066966035],[0.61196294998885536],[0.00176668847434025],[0.0017069000861520411]
317,26.43396056533145,[0.0011496043733818517],[0.0015004157992281608],[0.0017974917626056297],[1.0],[0.88816028372514699],[1.0],[0.62713862539362031],[0.97669133178052236],[0.68889823121346561],[0.6002825493534748],[1.0],[0.87929413334405315],[0.62848219443525055],[0.42776196751235651],[0.85911680702954185],[0.0012004948175438068],[0.0014265213367030127]
318,25.41088412036945,[0.0015775464135202588],[0.0017275059138111004],[0.0024055114288187296],[0.77911251655887148],[0.70310711718931451],[0.82233298277480504],[0.96843092272296483],[0.65623539440200884],[0.65818755717403887],[0.61416043283870625],[1.0],[0.70939993317036776],[0.50502686049540546],[0.36729435255787757],[0.78075042715372833],[0.0015775464135202588],[0.0017275059138111004]
319,27.552925175426576,[0.0021937965360018796],[0.0023472961613152377],[0.0024469343964242385],[0.88457842410844645],[0.58796260621748497],[0.66689876649341329],[0.73743305394845449],[0.99999998017259151],[0.61262741726598213],[0.43190748080431329],[1.0],[0.89289063114097722],[0.6759589132293119],[0.28587897316472494],[0.82266744590776142],[0.0016448926419615484],[0.0026111571826977209]
320,25.185328777227713,[0.0018869187348723448],[0.0019823357864361402],[0.0017210848794009248],[0.63564563714456823],[0.56612581599639766],[0.72318258326488716],[0.74941821863917768],[0.97370714626306865],[0.54293832358834182],[0.53708207599028523],[1.0],[0.96438175850752828],[0.76850654004328178],[0.47484559981961166],[0.97705583356315873],[0.0018869187348723448],[0.0019823357864361402]
321,25.22906250348069,[0.0016012859181628869],[0.0016920852257055197],[0.0018810991785138675],[0.69040714690552174],[0.55779853694720449],[0.92196404866178816],[0.59175824100511043],[0.75568523363244178],[0.64252423666932057],[0.64769252632695906],[1.0],[0.79005133446797859],[0.53274215129840119],[0.6002543704902108],[0.98092403628616376],[0.0016012859181628869],[0.0016920852257055197]
322,25.49513045999457,[0.002370582633760665],[0.0022702430644107041],[0.0018226586875986217],[0.69898323279235819],[0.5921342715440524],[0.61046523062901226],[0.73596208714656386],[0.84186109700045231],[0.64399420469274271],[0.55308508182043781],[1.0],[0.76745803109766708],[0.90648669362689849],[0.59215322192456155],[0.68813199716959439],[0.002370582633760665],[0.0022702430644107041]
323,26.347803853639423,[0.0013966882966164329],[0.0019189379353165004],[0.0015406204825956782],[0.96576880137325416],[0.81062021383798066],[0.90097964640034467],[0.56065393835871657],[0.91057325399726807],[0.57264310477015368],[0.49590715495174392],[1.0],[0.61253659070139932],[0.85271454031369243],[0.64457205056608413],[0.75328672989007472],[0.0017836049835860401],[0.0014915538055644828]
324,25.57601403865259,[0.0018103038855601938],[0.0013808446940968833],[0.0013489691080345589],[0.94077178253429017],[0.70882741914851977],[0.62489903397885038],[0.63366477408155664],[0.55413653226192916],[0.89282812203088557],[0.89237107336262522],[0.7756857130547381],[0.60600692784647825],[0.93363972026250686],[0.93313257106179859],[0.48955018608175727],[0.0018103038855601938],[0.0013808446940968833]
325,26.062012661321074,[0.0015623555792776411],[0.0025204372619601623],[0.001938149108000109],[0.58217452209196363],[0.71075078444170847],[0.85165738225223819],[0.64375902589366674],[0.76154950841706359],[0.4348305070006388],[0.37133797718294576],[1.0],[0.19595282431821615],[0.68427323535755347],[0.53523344661789851],[0.44854028353600794],[0.0014585764008617774],[0.001479739072639541]
